Timestamp,What is the name of your agency?,What is your rank in your agency?,How many years have you worked for your agency?,How many years have you worked in your current position?,Do you do active cybercrime investigation? ,Do you have a legal framework allowing your country to make a cybercrime investigation request to other countries?,"If yes to the prior question, please give URL (link) or name of the legal framework, if known ",What channels does your agency have to make a request to other countries (Nigeria) regarding an investigation?,"On a scale of 1 (Not Effective at all) to 5 (Extremely Effective), how effective are the legal provision(s) in terms of requesting information from other countries ",What's the greatest challenge with making an MLA request to other countries (Nigeria),What are the challenge(s) you face when a request is received concerning an ongoing investigation from another country? ,"On average, how many MLA requests does your agency send to other countries in a year? ","On average, how many MLA requests does your agency receive  from other countries in a year? ","In your experience, how long does MLA response take on average?",Do you know how to request MLA from other countries? 
2019/02/28 6:06:02 PM GMT+9,HKP_Hong Kong,SIP,9,3,Yes,Yes,https://www.elegislation.gov.hk/hk/cap525,DOJ,3,Bureaucracy,Trust issues,100,200,More than 2 years,3
2019/03/01 2:57:58 PM GMT+9,FBI_USA,N/A,3,3,Yes,Yes,,Through the Legal Attache and MLAT,3,Bureaucracy,Insufficient information;Vague request;Trust issues,10,20,6- 12 months,3
2019/03/03 3:22:18 PM GMT+9,HKP_Hong Kong,Superintendent,18,3,Yes,Yes,https://www.elegislation.gov.hk/hk/cap525,Inteprol,3,Delayed response,Internal logistic issues;Vague request,100,1000,12- 24 months,4
2019/03/06 10:24:02 PM GMT+9,HSI_USA,Special Agent ,26,23,Yes,Yes,,Through our attaché offices and through our HQ in DC,3,Bureaucracy,Insufficient information;Vague request,5,2,6- 12 months,3
2019/03/06 10:29:32 PM GMT+9,Judiciary Police Macao_China,Bureau ,23,6,Yes,Maybe,,Interpol ,2,No point of contact,Insufficient information,0,2,1- 3 months,3
2019/03/15 6:24:13 PM GMT+9,CID Neu-Ulm_Germany,Criminal Intelligence officer (at that time),3,3,No,Yes,German code of criminal procedure called StPO (Strafprozessordnung); RiStBV (Richtlinien im Straf- und Bussgeldverfahren); but these legal provisions are more general covering all sorts of investigations and law enforcement action in Germany or by German LEA,"Liaison officers of the German BKA (Federal CID), who are based in more than 60 countries around the world but cover nearly all countries on a global scale; Europol-channel (SIENA network); INTERPOL-chanel; personal contacts to colleagues abroad (mainly from neighbouring countries); specific template created for LEA in Europe called ""Swedish initiative"" (but is no more used that often);",4,Very limited knowledge abuout international cooperation/channels/MLA procedures etc. more in general at investigators on the ground/field that not have international investigations steadily,Vague request,3,3,6- 12 months,2
2019/03/15 6:26:59 PM GMT+9,Interpol,Specialized Officer ,2,2,No,No,,NCB NETWORK,1,Insufficient knowledge about the legal provisions of the country request is made to,Insufficient information;Vague request;Trust issues,0,0,6- 12 months,4
2019/03/15 7:10:18 PM GMT+9,Rigspolitiet_Denmark,Police Inspector,40,4,Yes,Yes,We do not have online resources for this. But internal resources,"MLAT, Interpol and Europol, sometimes direct contact when appropiate",1,Delayed response,Vague request,0,0,6- 12 months,2
2019/03/18 10:59:51 AM GMT+9,Interpol,DIGITAL CRIME OFFICER,3,3,Yes,No,,"INTERPOL supports member countries with investigations, for this case shares intelligence that can enhance investigations related to cyber crimes. Requests come from member countries or individuals or private sector partners to INTERPOL. Some times INTERPOL initiates the an investigative activity in form of an operation on behalf of its member countries e.g in case of an existing cyber threat like a malware.",2,Different legal frameworks or lack of MLA frameworks.,Insufficient information,0,0,3- 6 months,1
2019/03/18 6:32:41 PM GMT+9,Italian Economic and Financial Police (Guardia di Finanza),Lieutenant,25,7,No,Yes,,International Police Cooperation channels and Judiciary Cooperation channels,4,No point of contact,None,0,0,6- 12 months,4
2019/03/19 7:03:12 PM GMT+9,Interpol,Criminal Intel Office,2,2,Yes,Yes,,Direct communication via email. International Child Sexual Exploitation Database (in database referral system). ,2,Delayed response,Out of date request,0,0,6- 12 months,3
